Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Weather - Type,Weather - Temp,Weather - Wind Speed,Weather - Humidity,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Left Temp Class,Left Temp,Wind Level,Wind Pattern
58006,Summer,true,13.52,67.13,23,31,1,-1,,,,,2,45,75.264,0.0,946.95,Aggressive Heating,,2,face
58006,Summer,true,13.92,91.08,23,32,-1,0,,,,,2,110,75.264,0.0,948.26,Conventional,24,2,face
58006,Summer,true,17.35,0.3,43,33,0,-2,,,,,2,39,72.912,0.0,0.0,Conventional,24,0,face
58006,Summer,true,21.62,10.72,36,32,0,2,,,,,2,8,69.384,0.0,892.53,Conventional,24,2,face
58006,Summer,false,16.35,1.42,34,42,0,-2,,,,,2,19,52.528,50.95,1441.0,Conventional,24,2,face
58006,Summer,true,16.62,20.33,30,33,0,0,,,,,2,47,65.464,28.84,1318.13,Conventional,24,2,face
58006,Summer,true,16.82,32.08,29,33,0,0,,,,,2,359,65.072,27.14,1225.79,Conventional,24,2,face
58006,Summer,true,17.32,10.7,31,37,0,0,,,,,2,228,52.136,13.99,1158.26,Conventional,24,2,face
58006,Summer,false,0.1,13.48,27,31,-1,0,,,,,2,192,45.08,60.92,1449.1,Conventional,23,2,face
58006,Summer,false,13.05,24.12,19,27,0,0,,,,,2,113,21.952,38.37,1363.6,Conventional,23,2,face
58006,Summer,false,13.1,27.52,19,27,0,0,,,,,2,225,21.168,26.52,1235.83,Conventional,23,2,face
58006,Summer,false,13.83,1.57,19,28,0,0,,,,,2,193,18.816,52.55,1327.5,Conventional,23,2,face
58006,Summer,false,15.17,10.82,19,29,0,2,,,,,2,150,16.464,53.27,1482.89,Conventional,23,4,facefoot
58006,Summer,false,16.08,15.35,19,28,0,0,,,,,2,97,12.936,33.22,1341.78,Conventional,23,4,facefoot
58006,Summer,true,7.12,0.32,20,21,0,0,,,,,2,144,11.368,1.1,1169.0,Conventional,23,4,facefoot
58006,Summer,true,15.12,1.48,27,36,0,-2,,,,,2,281,71.736,5.67,1177.67,Conventional,23,2,facefoot
58006,Summer,true,11.38,78.92,27,31,1,0,,,,,2,179,39.984,106.27,2175.6,Conventional,24,2,facefoot
58006,Summer,true,7.0,0.2,20,22,0,0,,,,,2,208,25.872,31.0,1800.0,Conventional,24,2,facefoot
58006,Summer,true,8.13,1.72,23,30,0,0,,,,,2,273,74.872,11.07,1508.07,Conventional,24,2,facefoot
58006,Summer,true,9.17,3.12,23,30,0,0,,,,,2,246,74.088,25.19,1291.14,Conventional,24,2,facefoot
58006,Summer,true,9.42,18.6,23,31,0,0,,,,,2,265,73.304,53.53,1496.5,Conventional,24,2,facefoot
58006,Summer,true,12.48,1.72,23,29,0,0,,,,,2,190,70.168,9.93,1427.5,Conventional,24,2,facefoot
58006,Summer,true,14.65,0.23,25,29,0,0,,,,,2,37,68.992,57.95,1810.5,Conventional,24,2,facefoot
58006,Summer,true,14.85,12.87,23,29,0,0,,,,,2,49,68.208,38.6,1317.89,Conventional,24,2,facefoot
58006,Summer,true,15.23,35.62,23,29,0,0,,,,,2,189,66.64,31.77,1317.69,Conventional,24,2,facefoot
58006,Summer,true,15.5,51.52,23,30,0,0,,,,,2,1,65.464,16.28,1213.32,Conventional,24,2,facefoot
58006,Summer,true,17.6,3.23,23,31,0,0,,,,,2,171,64.68,0.0,946.43,Conventional,24,2,facefoot
58006,Summer,true,18.17,37.58,23,29,0,0,,,,,2,282,58.8,45.35,1322.94,Conventional,24,2,facefoot
58006,Summer,true,20.23,1.8,25,27,0,0,,,,,2,100,58.408,15.15,1431.6,Conventional,24,2,facefoot
58006,Summer,true,18.13,26.13,25,32,0,0,,,,,2,264,45.864,47.91,1419.22,Conventional,24,2,facefoot
58006,Summer,false,15.45,0.35,27,31,0,0,,,,,2,12,37.632,7.9,1925.0,Conventional,24,2,facefoot
58006,Summer,true,14.05,0.62,29,40,0,0,,,,,2,336,50.568,0.0,821.0,Conventional,24,2,facefoot
58006,Fall,false,15.4,37.47,31,34,0,0,,,,,2,359,74.872,23.78,1209.79,Conventional,24,2,facefoot
58006,Fall,false,16.13,27.68,32,32,0,0,,,,,2,197,73.304,50.85,1435.69,Conventional,24,2,facefoot
58006,Fall,false,17.43,3.23,31,33,0,0,,,,,2,250,51.352,0.0,948.25,Conventional,24,2,facefoot
58006,Fall,true,12.93,3.95,31,39,0,2,,,,,2,36,29.008,65.4,2053.0,Conventional,24,4,facefoot
58006,Fall,true,13.0,7.9,31,37,0,-2,,,,,2,16,28.616,64.93,1550.11,Conventional,24,2,facefoot
58006,Fall,true,14.55,0.93,32,44,-1,2,,,,,2,12,27.44,1.7,892.5,Conventional,23,4,facefoot
58006,Fall,true,14.67,7.72,32,40,0,-2,,,,,2,154,27.048,29.28,1405.29,Conventional,23,2,facefoot
58006,Fall,true,15.98,48.02,32,34,0,0,,,,,2,21,22.344,15.55,1162.5,Conventional,23,2,facefoot
58006,Fall,true,16.57,82.18,31,31,0,0,,,,,2,89,18.032,30.93,1373.21,Conventional,23,2,facefoot
58006,Fall,true,9.05,4.67,25,31,0,0,,,,,2,190,72.912,0.0,746.72,Conventional,23,2,facefoot
58006,Fall,true,9.75,9.88,25,31,0,0,,,,,2,286,72.128,11.53,1337.23,Conventional,23,2,facefoot
58006,Fall,true,9.83,14.17,25,32,0,0,,,,,2,276,70.952,22.19,1367.23,Conventional,23,2,facefoot
58006,Fall,true,9.93,20.6,25,31,0,0,,,,,2,294,70.952,10.67,1083.81,Conventional,23,2,facefoot
58006,Fall,true,10.18,35.85,25,32,0,0,,,,,2,91,69.384,30.0,1490.9,Conventional,23,2,facefoot
58006,Fall,true,10.45,51.62,29,31,0,-1,,,,,2,100,68.6,26.64,1227.33,Conventional,23,1,facefoot
58006,Fall,true,18.13,4.32,25,29,0,0,,,,,2,184,49.784,24.73,1353.38,Aggressive Heating,,1,facefoot
58006,Fall,true,18.22,9.18,25,30,0,0,,,,,2,180,49.784,27.91,1308.21,Aggressive Heating,,1,facefoot
58006,Fall,true,10.32,13.93,23,28,0,0,,,,,2,17,39.592,59.78,1536.0,Aggressive Heating,,1,facefoot
58006,Fall,true,11.7,97.47,21,30,0,0,,,,,2,10,96.824,37.43,1534.67,Aggressive Heating,,1,facefoot
58006,Fall,true,12.98,12.6,21,33,0,0,,,,,2,30,93.296,9.7,1200.93,Aggressive Heating,,1,facefoot
58006,Fall,true,14.02,1.7,20,29,0,0,,,,,2,86,88.2,2.16,1071.0,Aggressive Heating,,1,facefoot
58006,Fall,true,14.15,9.58,20,30,0,0,,,,,2,63,87.024,16.96,1255.86,Aggressive Heating,,1,facefoot
58006,Fall,true,15.47,88.93,22,31,0,0,,,,,2,160,74.48,83.55,1845.73,Aggressive Heating,,1,facefoot
58006,Fall,true,15.72,103.1,22,30,0,0,,,,,2,207,73.696,32.3,1875.0,Aggressive Heating,,1,facefoot
58006,Fall,true,16.38,143.68,20,32,0,0,,,,,2,25,70.952,1.45,833.65,Aggressive Heating,,1,facefoot
58006,Fall,true,18.78,0.73,20,28,0,0,,,,,2,358,63.504,13.8,1315.5,Aggressive Heating,,1,facefoot
58006,Fall,true,12.48,0.02,22,29,0,0,,,,,2,178,58.016,0.0,777.0,Aggressive Heating,,1,facefoot
58006,Fall,false,14.38,2.37,34,47,-5,4,100,32,3,54,2,206,39.2,0.0,828.11,Conventional,20,5,facefoot
58006,Fall,false,14.88,31.73,34,33,2,0,100,32,3,54,2,206,39.2,0.0,948.88,Conventional,22,5,facefoot
58006,Fall,false,20.62,51.25,27,30,0,-2,212,29,3,68,2,167,33.32,18.16,1398.31,Conventional,22,3,facefoot
58006,Fall,false,21.0,74.87,27,29,2,0,212,29,3,68,2,216,30.184,48.83,1269.53,Conventional,24,3,facefoot
58006,Fall,false,22.33,154.9,26,29,-1,0,212,27,3,80,2,239,25.088,60.49,1420.8,Conventional,23,3,facefoot
58006,Fall,false,22.67,173.93,24,28,-1,0,212,27,3,80,2,310,21.56,30.91,1278.5,Conventional,22,3,facefoot
58006,Fall,false,22.78,181.0,24,28,0,0,212,27,3,80,2,286,19.6,43.97,1330.79,Conventional,22,3,facefoot
58006,Fall,true,8.65,10.77,21,26,0,-1,212,22,3,95,2,83,17.248,50.43,1449.56,Conventional,22,2,facefoot
58006,Fall,true,8.9,26.28,21,28,2,-1,212,22,3,95,2,227,15.288,32.4,1312.33,Conventional,24,1,facefoot
58006,Fall,true,15.67,5.53,25,30,0,0,100,24,3,78,2,310,10.976,22.81,1423.11,Conventional,24,1,facefoot
58006,Fall,true,12.22,18.95,27,32,0,3,100,25,3,71,2,244,69.384,28.12,1157.16,Conventional,24,4,facefoot
58006,Fall,true,12.43,32.1,27,31,0,-3,100,25,3,71,2,69,68.992,13.1,1149.56,Conventional,24,1,facefoot
58006,Fall,true,12.58,41.0,27,32,0,1,100,25,3,71,2,255,68.6,23.5,1275.48,Conventional,24,2,facefoot
58006,Fall,true,17.62,4.65,22,29,0,0,212,22,3,85,2,179,54.488,32.37,1320.33,Conventional,24,2,facefoot
58006,Fall,true,17.67,7.38,22,29,0,-1,212,22,3,85,2,268,54.096,36.72,1336.15,Conventional,24,1,facefoot
58006,Fall,false,7.77,14.25,20,25,0,0,212,20,6,96,2,329,41.552,47.09,1406.19,Conventional,24,1,facefoot
58006,Fall,false,7.98,27.07,20,25,0,0,212,20,6,96,2,57,40.768,11.25,1106.09,Conventional,24,1,facefoot
58006,Fall,true,14.88,27.77,20,33,0,0,100,22,4,52,2,224,52.528,44.19,1345.67,Conventional,24,1,facefoot
58006,Fall,true,17.57,73.58,21,30,0,0,101,20,3,61,2,147,29.792,78.68,1835.83,Conventional,24,1,facefoot
58006,Fall,false,7.35,8.57,18,23,0,0,101,18,3,95,2,0,67.032,46.4,1391.53,Conventional,24,1,facefoot
58006,Fall,false,13.67,0.65,23,29,0,0,212,20,3,91,2,45,64.288,3.77,1381.67,Conventional,24,1,facefoot
58006,Fall,true,14.4,6.27,21,32,0,0,212,22,3,83,2,80,82.712,17.09,1502.14,Conventional,24,1,facefoot
58006,Fall,true,14.52,13.85,20,32,0,0,212,22,3,83,2,136,80.752,33.8,1471.39,Conventional,24,1,facefoot
58006,Fall,true,15.78,89.65,21,30,0,0,212,20,3,93,2,15,75.264,17.78,1187.17,Conventional,24,1,facefoot
58006,Fall,true,18.23,5.65,19,28,0,0,212,20,3,96,2,177,69.384,33.9,1281.36,Conventional,24,1,facefoot
58006,Fall,true,17.15,1.23,21,30,0,0,212,21,3,96,2,183,52.528,26.6,1245.0,Conventional,24,1,facefoot
58006,Fall,true,17.38,15.18,21,30,0,0,212,21,3,96,2,224,52.136,24.3,1168.79,Conventional,24,1,facefoot
58006,Fall,true,17.6,28.02,21,31,0,0,212,21,3,96,2,264,51.352,58.38,1396.5,Conventional,24,1,facefoot
58006,Fall,true,17.73,35.58,21,31,0,0,212,21,3,96,2,212,49.784,47.89,1464.69,Conventional,24,1,facefoot
58006,Fall,true,8.3,43.3,21,27,0,0,212,20,3,98,2,184,45.472,36.26,1384.53,Conventional,24,1,facefoot
58006,Fall,false,6.93,9.58,21,25,0,0,207,21,3,98,2,76,27.44,49.84,1405.17,Conventional,24,1,facefoot
58006,Fall,true,12.6,16.1,24,35,0,0,100,23,3,74,2,181,59.584,23.16,1336.83,Conventional,24,1,facefoot
58006,Fall,true,12.67,20.28,24,34,0,0,100,23,3,74,2,261,59.192,39.84,1392.89,Conventional,24,1,facefoot
58006,Fall,true,12.72,23.3,24,34,0,0,100,23,3,74,2,93,58.8,36.49,1297.64,Conventional,24,1,facefoot
58006,Fall,true,19.83,18.97,18,30,0,0,101,18,3,85,2,188,29.792,22.52,1046.95,Conventional,24,1,facefoot
58006,Fall,true,13.85,47.0,31,34,0,0,101,29,3,68,2,174,76.44,21.34,1356.25,Conventional,24,1,facefoot
