Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Wind Level
55087,Summer,False,9.1,24.88,29,31,1.0,-1.0,2.0,332.0,52.92,17.46,1167.39,1.0
55087,Summer,False,12.28,26.45,33,32,0.0,0.0,2.0,216.0,32.144,39.11,1446.68,2.0
55087,Summer,False,10.05,55.02,26,32,2.0,-1.0,2.0,326.0,96.04,24.62,1100.93,1.0
55087,Summer,False,11.95,6.97,26,29,2.0,0.0,2.0,268.0,80.36,10.01,1094.21,1.0
55087,Summer,True,8.55,92.92,25,31,0.0,0.0,2.0,344.0,73.304,10.65,1106.58,1.0
55087,Summer,True,15.33,35.8,22,28,0.0,0.0,2.0,158.0,50.96,28.88,1212.7,1.0
55087,Summer,True,16.47,104.17,23,32,0.0,0.0,2.0,9.0,43.512,45.22,1373.37,2.0
55087,Summer,False,12.17,12.12,27,31,0.0,-1.0,2.0,116.0,82.32,61.74,1708.76,1.0
55087,Summer,False,12.22,15.18,29,31,-4.0,1.0,2.0,109.0,81.144,77.66,1891.75,2.0
55087,Summer,False,12.38,24.53,27,33,0.0,0.0,2.0,102.0,78.792,95.77,1959.28,2.0
55087,Summer,False,12.72,45.35,27,34,1.0,0.0,2.0,149.0,75.264,89.07,1953.83,2.0
55087,Summer,False,12.78,48.58,27,34,-3.0,0.0,2.0,144.0,75.264,43.89,1536.79,2.0
55087,Summer,False,13.58,96.92,27,36,0.0,0.0,2.0,163.0,70.168,48.35,1446.63,2.0
55087,Fall,True,6.82,6.3,22,25,5.0,0.0,2.0,331.0,71.344,18.45,1193.47,2.0
55087,Fall,True,18.65,106.15,22,31,-1.0,0.0,2.0,158.0,55.272,9.47,1021.87,2.0
55087,Fall,True,18.72,109.88,22,31,0.0,0.0,2.0,150.0,54.88,8.7,1081.74,2.0
55087,Fall,True,19.07,130.87,22,32,-9.0,0.0,2.0,158.0,53.704,23.54,1259.81,2.0
55087,Fall,True,19.12,133.8,22,32,0.0,0.0,2.0,156.0,53.312,26.79,1353.96,2.0
55087,Fall,False,9.28,146.1,28,36,0.0,-1.0,2.0,320.0,87.024,29.64,1480.11,1.0
55087,Fall,False,9.85,181.0,27,37,9.0,1.0,2.0,289.0,83.104,78.5,1638.6,2.0
55087,Fall,True,14.87,84.78,27,36,-2.0,1.0,2.0,157.0,47.04,39.26,1217.75,3.0
55087,Fall,True,13.77,0.05,22,36,-2.0,0.0,2.0,11.0,29.792,0.0,796.0,3.0
55087,Fall,True,13.83,4.22,22,36,0.0,0.0,2.0,10.0,29.792,1.8,903.67,3.0
55087,Fall,True,15.42,23.18,26,29,0.0,0.0,2.0,125.0,29.008,3.3,909.74,3.0
55087,Fall,True,17.37,5.28,20,25,0.0,-2.0,2.0,284.0,72.128,28.64,1427.0,1.0
55087,Fall,True,17.42,8.95,20,25,2.0,1.0,2.0,289.0,72.128,24.84,1344.38,2.0
55087,Fall,True,19.9,0.22,26,24,0.0,0.0,2.0,198.0,70.56,0.0,807.0,2.0
55087,Fall,True,20.25,21.37,20,26,0.0,-1.0,2.0,138.0,68.6,30.57,1261.52,1.0
55087,Fall,True,6.8,0.03,21,22,0.0,0.0,2.0,10.0,64.288,0.0,0.0,1.0
55087,Fall,True,7.43,37.98,19,26,0.0,0.0,2.0,273.0,59.192,78.41,1663.08,1.0
55087,Fall,True,7.55,44.93,19,26,0.0,0.0,2.0,337.0,58.8,77.94,1749.37,1.0
55087,Fall,True,19.13,10.7,20,24,0.0,1.0,2.0,84.0,54.88,30.59,1375.48,2.0
55087,Fall,True,20.08,67.85,21,27,0.0,0.0,2.0,100.0,52.136,6.3,1160.4,2.0
55087,Fall,False,8.68,13.48,21,25,0.0,-1.0,2.0,91.0,50.568,30.53,1291.79,1.0
55087,Fall,False,11.87,6.17,23,27,0.0,0.0,2.0,160.0,47.04,5.98,1159.05,1.0
55087,Fall,False,15.52,3.97,30,32,0.0,0.0,2.0,154.0,39.984,5.02,956.7,1.0
55087,Fall,False,15.62,10.17,27,32,0.0,0.0,2.0,155.0,39.2,9.97,1028.35,1.0
55087,Fall,False,16.93,6.83,21,26,0.0,0.0,2.0,232.0,37.24,14.78,1285.06,1.0
55087,Fall,True,7.33,34.7,18,24,0.0,0.0,2.0,346.0,33.32,46.61,1430.79,1.0
55087,Fall,False,17.57,1.2,15,17,4.0,0.0,2.0,181.0,93.296,0.0,923.0,1.0
55087,Fall,False,17.7,9.0,14,19,0.0,0.0,2.0,138.0,92.512,21.94,1199.44,1.0
55087,Fall,True,6.55,0.93,9,10,0.0,0.0,2.0,15.0,84.28,8.13,1242.67,1.0
55087,Fall,True,19.32,1.58,9,12,0.0,,2.0,155.0,25.088,8.5,1320.0,1.0
55087,Fall,False,19.22,38.6,19,26,0.0,0.0,2.0,0.0,15.288,4.56,890.46,1.0
55087,Fall,True,22.28,1.57,17,20,0.0,0.0,2.0,83.0,80.36,12.78,1557.75,1.0
55087,Fall,False,17.23,2.82,20,24,0.0,0.0,2.0,246.0,74.872,17.03,1284.67,1.0
55087,Fall,True,6.8,1.62,13,17,0.0,0.0,2.0,319.0,72.52,9.88,1281.75,1.0
55087,Fall,True,19.4,16.9,7,15,0.0,0.0,2.0,81.0,61.544,47.78,1506.0,1.0
55087,Fall,True,6.83,6.55,5,11,0.0,0.0,2.0,335.0,56.448,15.9,1168.0,1.0
55087,Fall,True,11.93,9.65,5,15,0.0,0.0,2.0,6.0,50.96,24.44,1278.96,1.0
55087,Fall,True,11.98,13.33,5,16,0.0,0.0,2.0,268.0,49.784,32.58,1338.08,1.0
55087,Fall,True,6.73,1.93,1,5,1.0,,2.0,296.0,30.184,12.91,1469.71,1.0
55087,Fall,True,7.13,25.7,1,13,0.0,0.0,2.0,331.0,28.616,49.91,1429.89,1.0
55087,Fall,True,19.67,1.15,6,9,0.0,3.0,2.0,86.0,25.48,4.1,1173.67,4.0
55087,Fall,True,19.7,3.53,6,10,0.0,-3.0,2.0,44.0,25.088,10.84,1159.88,1.0
55087,Fall,True,19.9,14.82,6,13,0.0,0.0,2.0,155.0,23.52,23.44,1227.96,1.0
55087,Fall,False,9.2,9.87,8,15,-6.0,0.0,2.0,62.0,89.376,28.51,1354.14,1.0
55087,Fall,False,9.62,34.62,8,19,0.0,0.0,2.0,334.0,86.24,20.11,1209.8,1.0
55087,Fall,True,7.77,59.22,7,20,0.0,0.0,2.0,336.0,73.696,68.04,1602.73,1.0
55087,Fall,True,19.52,3.93,9,13,6.0,0.0,2.0,354.0,72.52,6.0,1058.0,1.0
55087,Fall,True,19.65,12.78,8,14,0.0,0.0,2.0,282.0,71.736,10.82,1093.18,1.0
55087,Fall,True,6.75,12.28,8,12,0.0,0.0,2.0,246.0,14.504,16.26,1100.56,1.0
55087,Fall,True,6.75,0.7,5,5,0.0,2.0,2.0,54.0,93.296,0.0,1069.0,3.0
55087,Fall,True,6.87,8.07,5,9,0.0,0.0,2.0,334.0,92.904,10.64,1142.6,3.0
55087,Fall,True,16.88,0.62,11,14,0.0,-2.0,2.0,169.0,44.296,8.8,1446.5,1.0
55087,Fall,True,17.85,58.35,10,25,0.0,0.0,2.0,251.0,38.416,11.85,1153.12,1.0
55087,Fall,True,19.25,142.95,10,28,0.0,0.0,2.0,237.0,31.752,30.3,1290.9,1.0
55087,Winter,True,6.77,0.52,1,1,0.0,6.0,2.0,168.0,30.576,0.0,1004.0,7.0
55087,Winter,True,6.82,4.0,1,2,0.0,-6.0,2.0,168.0,30.576,0.0,921.5,1.0
55087,Winter,True,6.82,3.02,10,13,0.0,0.0,2.0,245.0,15.68,13.45,1361.18,1.0
55087,Winter,True,7.25,29.73,10,18,0.0,0.0,2.0,327.0,13.72,36.76,1389.6,1.0
55087,Winter,False,9.52,0.97,13,14,0.0,1.0,2.0,149.0,90.16,0.0,1121.5,2.0
55087,Winter,False,9.58,4.37,13,16,0.0,0.0,2.0,156.0,89.768,16.61,1242.42,2.0
55087,Winter,False,9.9,24.02,12,21,0.0,-1.0,2.0,334.0,86.632,28.13,1267.96,1.0
55087,Winter,False,10.72,72.87,12,25,0.0,0.0,2.0,327.0,83.496,31.73,1292.0,1.0
55087,Winter,False,11.05,92.92,13,26,0.0,0.0,2.0,337.0,80.36,70.23,1635.0,1.0
55087,Winter,False,21.03,17.7,10,26,0.0,0.0,2.0,165.0,74.088,12.36,1166.59,1.0
55087,Winter,True,6.77,2.88,4,8,0.0,0.0,2.0,243.0,43.12,5.88,1164.58,1.0
55087,Winter,True,20.45,4.43,5,10,0.0,0.0,2.0,134.0,35.28,26.42,1214.67,1.0
55087,Winter,True,7.08,21.0,3,18,0.0,0.0,2.0,244.0,28.224,42.04,1446.88,2.0
55087,Winter,True,9.38,1.3,5,5,0.0,0.0,2.0,323.0,80.36,2.97,1201.0,2.0
55087,Winter,True,10.02,7.55,6,19,0.0,-1.0,2.0,174.0,76.44,27.43,1203.15,1.0
55087,Winter,True,18.88,25.67,4,11,0.0,0.0,2.0,158.0,91.728,28.33,1272.71,1.0
55087,Winter,True,19.1,37.7,4,12,0.0,1.0,2.0,255.0,90.16,27.56,1359.97,2.0
55087,Winter,True,7.03,15.93,3,12,0.0,0.0,2.0,339.0,86.24,29.41,1292.07,2.0
55087,Winter,False,17.32,21.1,10,20,0.0,0.0,2.0,335.0,73.696,22.87,1220.4,2.0
55087,Winter,False,17.52,32.28,10,21,0.0,0.0,2.0,193.0,73.696,4.99,953.71,2.0
55087,Winter,False,11.45,17.0,12,20,-1.0,-1.0,2.0,328.0,32.536,19.21,1192.0,1.0
55087,Winter,True,20.42,2.43,10,13,0.0,0.0,2.0,42.0,25.872,11.24,1066.2,1.0
55087,Winter,True,20.6,13.68,10,16,0.0,0.0,2.0,81.0,24.696,30.8,1335.84,1.0
55087,Winter,True,21.12,44.2,10,20,0.0,0.0,2.0,250.0,21.952,50.65,1368.23,1.0
55087,Winter,True,21.33,57.45,10,22,0.0,0.0,2.0,82.0,20.384,6.21,1102.96,1.0
55087,Spring,True,6.67,4.23,12,16,0.0,0.0,2.0,335.0,66.64,15.87,1322.9,1.0
55087,Spring,False,10.05,1.12,18,22,0.0,0.0,2.0,243.0,40.376,3.83,1140.33,1.0
55087,Spring,True,6.65,0.38,19,19,0.0,0.0,2.0,30.0,45.864,0.0,1193.0,1.0
55087,Spring,True,18.63,90.33,20,32,0.0,0.0,2.0,242.0,15.288,33.88,1405.97,1.0
55087,Spring,True,7.13,25.92,14,21,0.0,0.0,2.0,331.0,12.544,59.75,1591.55,1.0
55087,Spring,False,10.92,16.2,27,35,0.0,0.0,2.0,80.0,16.464,28.14,1129.54,1.0
55087,Spring,False,11.17,30.97,24,34,0.0,0.0,2.0,88.0,16.072,28.75,1250.04,1.0
55087,Spring,False,11.3,39.38,24,35,0.0,0.0,2.0,171.0,15.288,22.06,1188.58,1.0
55087,Spring,False,11.48,49.5,24,35,-2.0,0.0,2.0,344.0,14.504,13.79,1181.76,1.0
55087,Spring,False,11.73,65.1,24,36,0.0,0.0,2.0,156.0,12.152,24.64,1376.21,1.0
55087,Spring,False,11.85,71.72,24,36,0.0,0.0,2.0,159.0,99.176,14.25,1136.42,1.0
55087,Spring,False,12.7,122.57,29,35,0.0,1.0,2.0,219.0,94.472,79.1,1661.39,2.0
55087,Spring,False,12.73,125.08,28,36,2.0,0.0,2.0,228.0,94.08,77.19,1632.11,2.0
55087,Spring,False,12.87,133.45,28,35,0.0,0.0,2.0,238.0,93.688,82.53,1703.47,2.0
55087,Spring,False,14.8,70.63,30,33,0.0,-1.0,2.0,224.0,81.144,83.74,1794.57,1.0
55087,Spring,False,13.7,4.93,33,45,-1.0,1.0,2.0,15.0,74.088,14.35,1254.43,2.0
55087,Spring,False,14.13,30.37,31,41,0.0,0.0,2.0,63.0,73.696,31.94,1346.1,2.0
55087,Spring,False,14.22,35.77,32,41,-2.0,-1.0,2.0,296.0,72.912,56.48,1514.95,1.0
55087,Spring,False,14.32,41.77,33,41,0.0,4.0,2.0,301.0,72.128,87.17,1786.17,5.0
55087,Spring,False,14.43,48.88,33,41,0.0,-2.0,2.0,0.0,71.344,78.9,1659.2,3.0
55087,Spring,False,15.15,90.95,31,41,0.0,1.0,2.0,66.0,64.68,84.92,1742.45,3.0
55087,Spring,False,15.32,101.68,30,41,0.0,0.0,2.0,52.0,62.328,86.81,1782.29,3.0
55087,Spring,False,16.38,165.32,29,40,0.0,0.0,2.0,325.0,53.312,5.81,1153.16,3.0
