Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Left Temp,Wind Level
60557,Summer,True,14.68,11.17,34,38,0.0,-3.0,2.0,168.0,51.744,37.86,1381.61,16.0,4.0
60557,Summer,True,16.1,13.22,33,38,0.0,-2.0,2.0,35.0,48.608,17.32,1398.65,16.0,2.0
60557,Summer,True,13.9,0.82,34,45,0.0,1.0,2.0,344.0,38.808,5.28,1385.5,16.0,5.0
60557,Summer,True,14.9,11.1,34,33,0.0,0.0,2.0,169.0,32.536,31.4,1257.05,16.0,5.0
60557,Summer,True,15.92,15.75,34,34,0.0,-2.0,2.0,279.0,29.4,39.57,1369.63,16.0,3.0
60557,Summer,True,16.43,1.98,34,36,0.0,2.0,2.0,100.0,29.008,25.18,1352.25,16.0,5.0
60557,Summer,False,15.3,23.2,35,33,2.0,-2.0,2.0,76.0,18.032,10.22,1206.38,17.0,3.0
60557,Summer,False,12.53,1.93,29,36,0.0,-1.0,2.0,182.0,7.448,0.0,936.25,17.0,2.0
60557,Summer,False,12.6,6.08,29,35,0.0,2.0,2.0,151.0,7.448,24.08,1360.39,17.0,4.0
60557,Summer,False,12.77,16.62,30,32,-2.0,0.0,2.0,176.0,5.488,40.66,1650.75,16.0,4.0
60557,Summer,False,15.1,2.03,37,43,0.0,1.0,2.0,69.0,5.488,31.01,1163.75,16.0,5.0
60557,Summer,False,15.42,21.35,34,38,0.0,-1.0,2.0,180.0,3.528,0.97,948.58,16.0,4.0
60557,Summer,False,15.52,27.43,34,37,0.0,3.0,2.0,180.0,3.528,0.61,979.26,16.0,7.0
60557,Summer,False,15.65,35.6,34,34,0.0,-1.0,2.0,180.0,3.528,0.0,941.45,16.0,6.0
60557,Summer,False,17.22,12.43,31,37,0.0,0.0,2.0,214.0,36.456,37.89,1328.5,16.0,6.0
60557,Summer,True,14.43,8.22,31,37,0.0,-3.0,2.0,98.0,21.56,54.67,2155.3,16.0,3.0
60557,Summer,True,14.65,21.42,31,34,0.0,0.0,2.0,278.0,19.6,47.95,1609.33,16.0,3.0
60557,Summer,True,12.13,13.25,31,35,0.0,-2.0,2.0,145.0,9.8,42.77,1488.65,16.0,1.0
60557,Summer,True,12.23,19.48,29,34,0.0,6.0,2.0,34.0,9.016,40.8,1455.89,16.0,7.0
60557,Summer,True,14.97,13.73,34,36,0.0,-1.0,2.0,64.0,75.264,22.71,1253.52,16.0,6.0
60557,Summer,True,10.42,20.5,23,27,4.0,0.0,2.0,195.0,56.056,42.26,1434.13,19.0,6.0
60557,Summer,True,10.63,34.0,23,27,4.0,0.0,2.0,180.0,55.272,53.23,2332.33,23.0,6.0
60557,Summer,True,16.42,26.8,28,30,0.0,0.0,2.0,359.0,47.432,13.66,1260.21,23.0,2.0
60557,Summer,True,18.17,3.18,37,34,0.0,-1.0,2.0,256.0,45.08,27.8,1199.23,23.0,1.0
60557,Summer,True,10.57,18.38,29,26,-4.0,1.0,2.0,2.0,35.672,30.33,1361.94,19.0,2.0
60557,Summer,True,15.48,0.03,32,43,0.0,5.0,2.0,214.0,22.736,0.0,905.0,19.0,7.0
60557,Summer,True,15.6,6.37,32,37,-1.0,0.0,2.0,215.0,22.344,40.16,1321.47,18.0,7.0
60557,Summer,True,15.68,11.62,31,35,0.0,-4.0,2.0,35.0,21.56,51.41,1494.04,18.0,3.0
60557,Summer,True,15.72,13.82,31,35,0.0,1.0,2.0,324.0,20.776,56.14,1568.31,18.0,4.0
60557,Summer,True,16.15,40.02,31,30,0.0,2.0,2.0,42.0,18.032,38.08,1312.11,18.0,6.0
60557,Summer,True,16.73,1.05,31,31,0.0,-3.0,2.0,9.0,17.248,4.77,982.33,18.0,3.0
60557,Summer,True,9.68,8.15,26,33,0.0,0.0,2.0,263.0,84.28,14.54,1194.43,18.0,3.0
60557,Summer,True,10.03,29.08,28,29,0.0,-1.0,2.0,117.0,78.008,67.91,1746.25,18.0,2.0
60557,Summer,True,10.48,56.22,28,28,0.0,0.0,2.0,102.0,74.872,81.45,1698.97,18.0,2.0
60557,Summer,True,12.5,11.97,31,33,0.0,0.0,2.0,98.0,67.424,61.85,1645.67,18.0,4.0
60557,Summer,True,16.07,27.28,32,28,0.0,-1.0,2.0,267.0,52.528,26.5,1374.59,18.0,3.0
60557,Summer,False,11.65,18.25,32,36,1.0,1.0,2.0,292.0,49.392,59.35,1536.63,19.0,4.0
60557,Summer,False,12.47,66.7,33,28,1.0,-2.0,2.0,313.0,39.592,72.89,1647.38,20.0,2.0
60557,Summer,False,15.58,16.97,33,29,0.0,1.0,2.0,56.0,29.792,37.51,1326.62,20.0,3.0
60557,Summer,False,15.68,22.47,33,29,3.0,0.0,2.0,108.0,29.792,30.03,1335.93,23.0,1.0
60557,Summer,False,15.97,39.68,33,29,0.0,-1.0,2.0,265.0,29.4,37.23,1330.25,23.0,1.0
60557,Summer,False,17.1,13.38,31,31,-2.0,0.0,2.0,263.0,25.48,31.93,1440.21,21.0,1.0
60557,Summer,False,19.75,3.93,31,33,0.0,0.0,2.0,167.0,24.304,6.63,1331.0,21.0,1.0
60557,Summer,False,21.02,16.45,28,29,0.0,1.0,2.0,269.0,19.6,28.84,1380.4,21.0,3.0
60557,Summer,False,11.95,4.02,27,36,0.0,1.0,2.0,132.0,7.84,9.36,1194.5,21.0,4.0
60557,Summer,False,12.27,22.97,27,33,0.0,-1.0,2.0,306.0,73.696,0.18,948.54,21.0,3.0
60557,Summer,False,16.92,9.28,25,32,0.0,2.0,0.0,268.0,57.624,0.0,730.85,21.0,3.0
60557,Summer,True,8.32,0.45,25,25,-3.0,3.0,2.0,203.0,49.784,1.9,1175.0,18.0,6.0
60557,Summer,True,11.52,5.95,24,38,-3.0,0.0,2.0,167.0,45.08,18.18,1331.75,16.0,6.0
60557,Summer,True,14.38,3.6,39,39,0.0,-1.0,2.0,358.0,50.176,0.0,938.1,16.0,3.0
60557,Summer,True,14.47,9.05,39,37,0.0,1.0,2.0,358.0,50.176,0.0,944.87,16.0,4.0
60557,Summer,True,14.5,11.27,39,36,0.0,1.0,2.0,358.0,50.176,0.0,949.11,16.0,5.0
60557,Summer,True,14.68,22.17,39,34,0.0,0.0,2.0,358.0,50.176,0.0,946.58,16.0,5.0
60557,Summer,True,14.93,36.88,30,31,0.0,-2.0,2.0,35.0,45.08,33.53,1546.13,16.0,3.0
60557,Summer,True,15.07,44.85,30,29,0.0,1.0,2.0,192.0,39.592,40.19,1632.04,16.0,4.0
60557,Summer,True,10.0,17.85,26,32,0.0,0.0,2.0,215.0,25.872,29.28,1409.29,16.0,4.0
60557,Summer,True,13.47,23.37,29,32,0.0,0.0,2.0,279.0,15.288,0.0,942.0,16.0,4.0
60557,Summer,True,14.78,2.47,29,35,0.0,0.0,2.0,253.0,9.8,19.03,1243.29,16.0,3.0
60557,Summer,True,15.52,1.02,29,35,4.0,0.0,2.0,98.0,7.448,0.0,732.0,19.0,3.0
60557,Summer,True,14.48,0.05,37,41,0.0,5.0,2.0,141.0,3.528,0.0,886.0,19.0,8.0
60557,Summer,True,14.57,5.1,33,37,0.0,-5.0,2.0,70.0,3.528,23.04,1246.56,19.0,3.0
60557,Summer,True,12.13,2.28,45,41,0.0,1.0,2.0,140.0,45.08,0.47,943.33,19.0,4.0
60557,Summer,True,12.13,6.32,26,35,0.0,4.0,2.0,68.0,33.712,0.0,961.07,19.0,8.0
60557,Summer,True,13.22,12.15,26,33,0.0,-4.0,2.0,68.0,33.712,0.0,950.12,19.0,4.0
60557,Summer,True,13.52,29.43,26,30,0.0,0.0,2.0,68.0,33.712,0.0,948.41,19.0,4.0
60557,Summer,True,17.05,2.1,37,37,0.0,0.0,2.0,0.0,33.712,0.0,925.0,19.0,1.0
60557,Summer,True,17.97,14.07,26,31,1.0,-1.0,2.0,162.0,29.792,63.61,1476.56,20.0,2.0
60557,Summer,False,11.18,23.3,27,35,0.0,1.0,2.0,33.0,39.592,0.0,941.55,20.0,3.0
60557,Summer,False,15.58,6.85,35,42,0.0,1.0,2.0,341.0,8.232,0.0,880.24,21.0,3.0
60557,Summer,False,17.12,0.13,35,40,0.0,0.0,2.0,341.0,8.232,0.0,873.0,21.0,3.0
60557,Summer,True,9.5,0.47,23,29,0.0,0.0,2.0,253.0,8.232,0.0,856.0,21.0,3.0
60557,Summer,True,9.65,9.23,23,27,3.0,0.0,2.0,279.0,7.056,23.43,1308.75,24.0,3.0
60557,Summer,True,10.52,24.7,23,31,0.0,0.0,2.0,349.0,29.792,45.41,1480.18,24.0,3.0
60557,Summer,True,12.1,1.22,24,41,0.0,0.0,2.0,254.0,28.616,21.23,1321.0,24.0,3.0
60557,Summer,True,13.2,4.5,26,38,-8.0,5.0,2.0,10.0,27.44,0.0,946.7,16.0,8.0
60557,Summer,True,13.25,7.33,26,36,0.0,-6.0,2.0,75.0,27.44,5.11,1065.81,16.0,2.0
60557,Summer,True,13.67,0.87,26,36,-1.0,3.0,2.0,266.0,26.656,0.0,934.5,16.0,5.0
60557,Summer,True,13.78,7.7,26,33,0.0,1.0,2.0,215.0,26.656,26.9,1309.7,16.0,6.0
60557,Summer,True,13.93,16.57,26,29,0.0,-2.0,2.0,81.0,23.52,44.2,2016.24,16.0,4.0
60557,Summer,True,16.1,6.2,26,37,0.0,0.0,2.0,202.0,21.952,15.56,1379.64,16.0,4.0
60557,Summer,True,16.77,17.9,26,29,0.0,-1.0,2.0,263.0,15.68,28.68,1231.06,16.0,3.0
60557,Summer,True,9.0,1.12,22,24,0.0,0.0,2.0,64.0,13.328,11.43,1632.0,16.0,2.0
60557,Summer,True,9.07,5.67,22,25,0.0,3.0,2.0,147.0,13.328,42.64,1485.9,16.0,5.0
60557,Summer,True,9.3,19.72,21,25,0.0,0.0,2.0,2.0,10.192,31.67,1271.5,16.0,5.0
60557,Summer,True,9.37,23.22,21,25,0.0,-1.0,2.0,251.0,10.192,25.09,1260.87,16.0,4.0
60557,Summer,True,9.4,25.25,21,25,0.0,0.0,2.0,254.0,10.192,28.98,1277.4,16.0,4.0
60557,Summer,True,10.62,2.1,21,29,0.0,0.0,2.0,76.0,9.408,11.64,1186.2,16.0,4.0
60557,Summer,True,14.35,1.95,23,40,0.0,0.0,2.0,355.0,74.088,0.48,1056.0,16.0,4.0
60557,Fall,True,9.25,0.28,23,28,0.0,0.0,2.0,234.0,71.736,0.0,1177.0,16.0,4.0
60557,Fall,True,9.55,18.67,23,26,7.0,0.0,2.0,298.0,66.64,11.57,1236.17,22.0,2.0
60557,Fall,True,14.5,0.03,33,51,-7.0,3.0,2.0,27.0,61.936,0.0,855.0,16.0,5.0
60557,Fall,True,16.6,0.48,46,42,0.0,2.0,2.0,81.0,57.624,4.2,968.5,16.0,4.0
60557,Fall,True,16.7,6.68,32,37,0.0,0.0,2.0,68.0,56.84,22.16,1421.47,16.0,4.0
60557,Fall,True,16.8,11.88,30,35,0.0,-2.0,2.0,275.0,56.056,19.79,1239.87,16.0,2.0
60557,Fall,False,9.38,6.55,23,26,6.0,0.0,2.0,216.0,41.944,26.97,1373.53,21.0,2.0
60557,Fall,False,10.82,1.07,23,33,-6.0,3.0,2.0,265.0,38.416,0.0,941.0,16.0,5.0
60557,Fall,False,11.28,29.0,23,29,0.0,0.0,2.0,265.0,38.416,0.0,920.21,16.0,5.0
60557,Fall,False,13.37,25.37,26,30,0.0,-3.0,2.0,33.0,35.28,30.36,1217.0,16.0,2.0
60557,Fall,False,14.25,3.58,26,28,7.0,0.0,2.0,202.0,32.928,9.6,1291.0,22.0,2.0
60557,Fall,False,12.95,1.23,23,34,0.0,2.0,2.0,75.0,23.52,14.2,1542.67,22.0,4.0
60557,Fall,False,13.75,6.63,26,30,0.0,-1.0,2.0,35.0,19.6,56.05,1669.53,22.0,3.0
60557,Fall,False,15.73,14.95,27,30,0.0,-3.0,2.0,194.0,14.112,44.6,1302.88,16.0,3.0
60557,Fall,False,16.8,0.93,26,29,-2.0,-2.0,2.0,254.0,10.584,0.0,920.5,21.0,1.0
60557,Fall,False,17.45,2.15,26,29,0.0,-2.0,2.0,252.0,10.192,18.1,1354.0,19.0,1.0
60557,Fall,True,13.27,0.05,22,38,0.0,4.0,2.0,270.0,18.424,0.0,771.0,19.0,5.0
60557,Fall,True,14.67,2.45,22,35,0.0,0.0,2.0,254.0,18.032,15.5,1634.5,19.0,5.0
60557,Fall,True,14.88,15.32,22,32,4.0,-3.0,2.0,112.0,15.68,35.03,1339.94,23.0,2.0
60557,Fall,True,15.35,43.27,25,29,2.0,0.0,2.0,67.0,11.368,29.49,1474.36,25.0,2.0
60557,Fall,True,15.65,61.57,25,29,-3.0,0.0,2.0,10.0,9.016,46.88,1502.0,22.0,2.0
60557,Fall,True,10.05,0.75,21,25,0.0,0.0,2.0,36.0,98.784,8.62,1461.83,22.0,2.0
60557,Fall,True,10.9,51.9,22,28,0.0,0.0,2.0,184.0,91.728,9.49,923.14,22.0,2.0
60557,Fall,True,10.25,19.78,15,23,4.0,1.0,2.0,293.0,84.672,35.35,1315.54,25.0,3.0
60557,Fall,True,14.7,3.32,16,25,0.0,0.0,2.0,115.0,75.264,27.7,1373.75,25.0,3.0
60557,Fall,True,17.57,22.68,22,28,0.0,0.0,2.0,171.0,52.136,25.59,1319.0,16.0,1.0
60557,Fall,False,17.57,6.95,21,24,0.0,-2.0,2.0,173.0,38.808,6.88,1102.19,16.0,1.0
60557,Fall,False,17.62,9.75,21,24,0.0,0.0,2.0,144.0,38.808,3.74,1036.46,16.0,1.0
60557,Fall,True,16.95,0.55,28,29,0.0,1.0,2.0,336.0,26.656,3.65,1323.0,16.0,2.0
60557,Fall,True,9.3,2.03,21,25,0.0,0.0,2.0,255.0,23.128,21.94,1305.0,16.0,2.0
60557,Fall,True,10.95,25.87,23,29,0.0,6.0,2.0,40.0,15.288,35.99,1660.0,16.0,8.0
60557,Fall,True,11.08,33.83,23,25,0.0,-3.0,2.0,322.0,12.936,63.38,2200.89,16.0,5.0
60557,Fall,True,11.78,75.63,23,29,0.0,0.0,2.0,267.0,11.76,0.21,923.14,19.0,3.0
60557,Fall,True,12.0,88.75,23,31,0.0,4.0,2.0,255.0,10.976,18.68,1278.0,19.0,7.0
60557,Fall,True,12.08,93.85,23,29,0.0,-1.0,2.0,89.0,9.8,33.71,1688.39,19.0,6.0
60557,Fall,True,12.27,104.67,23,29,-3.0,0.0,2.0,150.0,8.232,34.84,1544.62,16.0,6.0
60557,Fall,True,16.28,26.28,27,28,0.0,-4.0,2.0,225.0,74.872,46.25,1682.81,16.0,2.0
60557,Fall,True,16.37,30.63,27,29,0.0,4.0,2.0,257.0,74.872,18.55,1237.6,16.0,6.0
60557,Fall,True,16.82,3.03,27,31,0.0,-5.0,2.0,267.0,74.48,16.75,1364.0,16.0,1.0
60557,Fall,True,17.3,31.53,27,29,0.0,6.0,2.0,76.0,73.304,5.5,1109.83,16.0,7.0
60557,Fall,True,17.35,34.57,27,27,0.0,-3.0,2.0,262.0,72.912,11.4,1284.0,16.0,4.0
60557,Fall,True,12.0,109.17,22,31,0.0,-1.0,2.0,150.0,56.84,31.66,1362.83,16.0,3.0
60557,Fall,True,14.97,34.15,26,27,0.0,-1.0,2.0,264.0,52.528,16.36,1178.55,16.0,2.0
60557,Fall,True,16.18,11.72,26,30,0.0,-1.0,2.0,151.0,51.744,23.28,1166.25,16.0,1.0
60557,Fall,True,16.23,14.03,25,30,0.0,1.0,2.0,99.0,50.568,44.79,1499.25,16.0,2.0
60557,Fall,True,11.12,5.23,21,31,0.0,0.0,2.0,269.0,35.28,3.9,916.86,16.0,2.0
60557,Fall,True,11.18,8.82,20,31,0.0,6.0,2.0,153.0,34.888,24.64,1221.0,16.0,8.0
60557,Fall,True,12.65,1.57,20,35,0.0,2.0,2.0,42.0,29.4,5.2,1075.5,16.0,4.0
60557,Fall,True,10.5,1.78,21,26,0.0,0.0,2.0,57.0,17.248,16.11,1530.43,16.0,4.0
60557,Fall,True,14.6,13.38,21,27,0.0,-2.0,2.0,343.0,26.264,0.55,946.86,16.0,2.0
60557,Fall,True,14.67,16.9,21,27,0.0,0.0,2.0,169.0,23.52,20.29,1301.76,16.0,2.0
60557,Fall,False,11.52,0.95,31,33,0.0,5.0,2.0,206.0,10.584,0.0,789.83,16.0,7.0
60557,Fall,False,10.55,12.85,16,25,0.0,-4.0,2.0,124.0,6.664,4.86,1580.8,16.0,3.0
60557,Fall,False,10.93,35.88,18,30,0.0,0.0,2.0,176.0,71.344,36.22,1875.61,16.0,3.0
60557,Fall,False,12.13,12.33,18,29,0.0,0.0,2.0,342.0,70.56,15.44,1134.8,16.0,3.0
60557,Fall,True,15.5,1.93,19,28,-3.0,4.0,2.0,257.0,24.696,0.0,946.57,16.0,5.0
60557,Fall,True,15.55,4.62,19,28,0.0,-2.0,2.0,257.0,24.696,0.0,946.57,16.0,3.0
60557,Fall,True,16.02,32.95,19,26,0.0,-2.0,2.0,150.0,21.56,19.68,1198.38,16.0,1.0
60557,Fall,True,11.83,0.1,37,33,0.0,3.0,2.0,339.0,75.656,0.0,774.0,16.0,4.0
60557,Fall,True,16.2,2.15,20,30,0.0,1.0,2.0,75.0,66.248,9.72,1072.6,23.0,2.0
60557,Fall,True,9.42,12.57,20,22,-6.0,0.0,2.0,331.0,34.888,66.35,1683.54,17.0,1.0
60557,Fall,True,10.93,0.62,31,28,0.0,1.0,2.0,145.0,34.104,2.8,1003.67,17.0,2.0
60557,Fall,True,15.03,0.95,25,33,-2.0,2.0,2.0,0.0,38.416,0.0,934.67,16.0,4.0
60557,Fall,True,15.67,5.1,22,30,0.0,0.0,2.0,215.0,35.672,48.37,1638.15,16.0,4.0
60557,Fall,True,15.75,10.22,22,30,0.0,0.0,2.0,329.0,32.536,50.99,1590.95,16.0,4.0
