Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Weather - Type,Weather - Temp,Weather - Wind Speed,Weather - Humidity,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Left Temp Class,Left Temp,Wind Level,Wind Pattern
60857,Summer,True,10.6,2.57,29,35,0.0,5.0,,,,,2.0,150.0,15.68,24.19,1165.25,Conventional,20.0,6.0,facefoot
60857,Summer,True,16.93,0.85,33,41,0.0,0.0,,,,,2.0,148.0,14.896,35.3,1800.0,Conventional,20.0,6.0,facefoot
60857,Summer,True,17.03,7.73,31,39,0.0,-2.0,,,,,2.0,177.0,14.112,77.72,1918.0,Conventional,20.0,4.0,facefoot
60857,Summer,True,9.7,0.4,35,27,3.0,-3.0,,,,,2.0,293.0,97.216,15.6,1441.0,Conventional,23.0,1.0,facefoot
60857,Summer,True,10.47,3.82,31,33,0.0,0.0,,,,,2.0,348.0,96.04,35.85,1465.7,Conventional,23.0,1.0,facefoot
60857,Summer,True,16.37,1.1,34,38,0.0,-6.0,,,,,2.0,169.0,93.296,19.23,1336.0,Conventional,23.0,2.0,facefoot
60857,Summer,True,17.3,0.15,33,34,0.0,6.0,,,,,2.0,285.0,91.728,0.0,889.0,Conventional,23.0,8.0,facefoot
60857,Summer,True,19.47,0.35,27,33,0.0,-3.0,,,,,2.0,266.0,90.944,4.0,888.0,Conventional,23.0,5.0,facefoot
60857,Summer,False,10.1,1.08,29,32,0.0,-2.0,,,,,2.0,74.0,88.2,16.47,1167.33,Conventional,23.0,3.0,facefoot
60857,Summer,False,14.05,0.55,30,49,0.0,1.0,,,,,2.0,254.0,86.24,0.0,906.5,Conventional,23.0,4.0,facefoot
60857,Summer,False,14.3,16.25,30,38,0.0,0.0,,,,,2.0,48.0,84.672,26.82,1331.91,Conventional,23.0,4.0,facefoot
60857,Summer,False,1.12,1.97,27,28,0.0,-3.0,,,,,2.0,181.0,78.792,20.73,1343.25,Conventional,23.0,1.0,facefoot
60857,Summer,False,9.45,12.32,28,31,0.0,1.0,,,,,2.0,38.0,76.832,36.51,1458.93,Conventional,23.0,2.0,face
60857,Summer,False,13.67,21.25,29,32,0.0,-1.0,,,,,2.0,87.0,74.872,17.76,1449.95,Conventional,23.0,1.0,face
60857,Summer,False,14.53,5.82,30,32,0.0,1.0,,,,,2.0,296.0,73.304,39.04,1389.55,Conventional,23.0,2.0,face
60857,Summer,False,14.95,31.77,30,30,1.0,0.0,,,,,2.0,147.0,72.128,0.0,950.75,Conventional,24.0,2.0,face
60857,Summer,True,11.37,4.32,30,32,0.0,0.0,,,,,2.0,93.0,62.72,19.56,1093.7,Conventional,24.0,2.0,face
60857,Summer,True,16.75,31.63,30,33,0.0,0.0,,,,,2.0,333.0,58.016,7.5,1091.47,Conventional,24.0,2.0,face
60857,Summer,True,14.78,4.57,30,41,0.0,-1.0,,,,,2.0,73.0,32.928,17.84,1335.14,Conventional,24.0,5.0,face
60857,Summer,True,15.9,0.85,30,43,0.0,1.0,,,,,2.0,268.0,32.536,4.03,1250.67,Conventional,24.0,6.0,face
60857,Summer,True,15.95,3.85,30,41,0.0,-1.0,,,,,2.0,264.0,32.536,1.34,1050.78,Conventional,24.0,5.0,face
60857,Summer,True,18.18,18.75,29,28,0.0,0.0,,,,,2.0,215.0,25.088,21.84,1226.33,Conventional,24.0,5.0,face
60857,Summer,True,10.83,31.28,29,29,0.0,-1.0,,,,,,,,,,Conventional,24.0,4.0,face
60857,Summer,True,12.68,1.92,29,40,0.0,0.0,,,,,2.0,148.0,25.872,21.12,1615.0,Conventional,24.0,4.0,face
60857,Summer,True,19.52,8.05,27,32,0.0,0.0,,,,,2.0,73.0,16.072,25.63,1424.43,Conventional,24.0,4.0,face
60857,Summer,False,10.72,0.22,42,33,0.0,1.0,,,,,2.0,73.0,14.504,0.0,939.0,Conventional,24.0,5.0,face
60857,Summer,False,13.13,8.18,30,39,0.0,0.0,,,,,2.0,2.0,14.504,13.37,1201.17,Conventional,24.0,5.0,face
60857,Summer,False,13.23,13.78,30,37,0.0,0.0,,,,,2.0,101.0,14.112,34.77,1562.52,Conventional,24.0,5.0,face
60857,Summer,False,15.25,12.23,32,36,0.0,0.0,,,,,2.0,95.0,12.936,35.03,1433.53,Conventional,24.0,5.0,face
60857,Summer,False,9.45,5.8,26,28,0.0,-4.0,,,,,2.0,257.0,98.392,40.28,1431.42,Conventional,24.0,1.0,face
60857,Summer,False,13.57,1.0,37,35,0.0,2.0,,,,,2.0,74.0,95.256,0.0,836.0,Conventional,24.0,3.0,face
60857,Summer,False,16.25,3.33,28,31,0.0,0.0,,,,,2.0,254.0,93.296,27.5,1328.14,Conventional,24.0,3.0,face
60857,Summer,False,16.3,6.98,26,30,0.0,-1.0,,,,,2.0,330.0,92.904,31.6,1505.14,Conventional,24.0,2.0,face
60857,Summer,False,16.4,13.13,26,30,0.0,0.0,,,,,2.0,258.0,92.904,31.12,1544.13,Conventional,24.0,2.0,face
60857,Summer,True,10.22,2.47,26,30,0.0,1.0,,,,,2.0,250.0,91.336,0.0,914.8,Conventional,24.0,3.0,face
60857,Summer,True,11.15,6.87,27,33,0.0,1.0,,,,,2.0,180.0,89.376,47.45,1453.77,Conventional,24.0,4.0,face
60857,Summer,True,17.43,0.13,28,33,0.0,1.0,,,,,2.0,58.0,84.28,12.8,2213.0,Conventional,24.0,5.0,face
60857,Summer,True,17.63,12.22,28,27,0.0,-2.0,,,,,2.0,88.0,84.28,0.37,1106.77,Conventional,24.0,3.0,face
60857,Summer,True,19.88,1.72,27,29,-3.0,-2.0,,,,,2.0,168.0,83.496,35.08,1388.5,Conventional,21.0,1.0,face
60857,Summer,True,11.33,2.6,27,36,0.0,6.0,,,,,2.0,252.0,79.968,0.45,977.13,Conventional,21.0,7.0,face
60857,Summer,True,11.57,16.82,27,32,0.0,-2.0,,,,,2.0,269.0,79.576,3.44,1044.5,Conventional,21.0,5.0,face
60857,Summer,True,15.3,6.08,30,31,0.0,0.0,,,,,2.0,151.0,78.792,31.19,1172.07,Conventional,21.0,5.0,face
60857,Summer,True,16.27,6.58,29,30,0.0,0.0,,,,,2.0,329.0,76.44,24.86,1226.18,Conventional,21.0,5.0,face
60857,Summer,True,16.58,3.4,29,31,0.0,0.0,,,,,2.0,168.0,75.656,38.39,1370.71,Conventional,21.0,5.0,face
60857,Summer,True,8.8,0.4,27,29,0.0,-1.0,,,,,2.0,54.0,75.656,0.0,1195.0,Conventional,21.0,4.0,face
60857,Summer,True,10.77,0.05,26,38,0.0,4.0,,,,,2.0,13.0,73.304,0.0,890.0,Conventional,21.0,8.0,face
60857,Summer,True,10.87,5.82,26,35,0.0,-2.0,,,,,2.0,254.0,72.52,29.83,1455.33,Conventional,21.0,6.0,face
60857,Summer,True,11.3,2.52,23,28,0.0,-5.0,,,,,2.0,148.0,60.368,11.18,1215.67,Conventional,21.0,1.0,face
60857,Summer,True,12.13,0.72,23,28,0.0,3.0,,,,,2.0,72.0,59.976,0.0,919.5,Conventional,21.0,4.0,face
60857,Summer,True,12.17,2.82,23,27,0.0,0.0,,,,,2.0,75.0,59.584,12.37,1083.57,Conventional,21.0,4.0,face
60857,Summer,True,16.63,20.6,23,24,0.0,0.0,,,,,2.0,61.0,54.096,0.92,952.52,Conventional,21.0,4.0,face
60857,Summer,True,15.68,3.73,21,23,0.0,-3.0,,,,,2.0,149.0,54.096,17.14,1238.13,Conventional,21.0,1.0,face
60857,Summer,False,8.9,7.58,25,29,0.0,2.0,,,,,2.0,150.0,52.528,19.63,1143.37,Conventional,21.0,3.0,face
60857,Summer,False,9.1,20.12,24,25,-1.0,0.0,,,,,2.0,325.0,52.136,30.32,1245.96,Conventional,20.0,3.0,face
60857,Summer,False,9.32,32.28,24,25,0.0,0.0,,,,,2.0,250.0,51.744,39.54,1340.18,Conventional,20.0,3.0,face
60857,Summer,False,12.28,3.28,24,32,0.0,0.0,,,,,2.0,87.0,49.0,0.0,948.09,Conventional,20.0,3.0,face
60857,Summer,False,11.65,1.27,29,41,0.0,1.0,,,,,2.0,149.0,48.608,24.13,1261.5,Conventional,20.0,4.0,face
60857,Summer,False,14.45,0.82,27,45,0.0,0.0,,,,,2.0,82.0,47.04,0.0,941.33,Conventional,20.0,4.0,face
60857,Summer,False,15.15,1.62,26,39,0.0,1.0,,,,,2.0,250.0,45.864,0.0,947.67,Conventional,20.0,5.0,face
60857,Summer,False,15.58,27.05,26,33,0.0,-1.0,,,,,2.0,272.0,44.296,7.1,1000.25,Conventional,20.0,4.0,face
60857,Summer,False,15.7,34.0,26,31,0.0,-3.0,,,,,2.0,170.0,43.512,23.43,1253.0,Conventional,20.0,1.0,face
60857,Summer,False,16.57,5.03,25,30,0.0,-2.0,,,,,2.0,252.0,41.944,2.32,984.9,Conventional,20.0,2.0,face
60857,Summer,False,19.5,4.45,24,27,2.0,-1.0,,,,,2.0,268.0,30.184,25.77,1236.29,Conventional,22.0,1.0,face
60857,Summer,False,19.58,9.38,20,27,0.0,0.0,,,,,2.0,273.0,30.184,43.32,1270.62,Conventional,22.0,1.0,face
60857,Summer,False,19.68,15.48,21,27,0.0,0.0,,,,,2.0,255.0,30.184,56.48,1326.14,Conventional,22.0,1.0,face
60857,Summer,False,19.78,20.85,21,27,0.0,0.0,,,,,2.0,270.0,30.184,56.54,1361.77,Conventional,22.0,1.0,face
60857,Summer,True,9.33,2.3,25,30,-6.0,2.0,,,,,2.0,4.0,19.992,0.0,944.13,Aggressive Cooling,,3.0,face
60857,Summer,True,14.25,2.4,26,36,0.0,5.0,,,,,2.0,168.0,17.248,6.65,1041.13,Aggressive Cooling,,8.0,face
60857,Summer,True,17.05,0.08,24,31,0.0,-6.0,,,,,2.0,78.0,16.072,0.0,922.0,Aggressive Cooling,,2.0,face
60857,Summer,True,10.9,0.1,21,38,0.0,1.0,,,,,2.0,162.0,12.152,0.0,934.0,Aggressive Cooling,,3.0,face
60857,Summer,True,10.98,5.68,21,36,0.0,3.0,,,,,2.0,348.0,11.368,17.64,1407.73,Aggressive Cooling,,6.0,face
60857,Summer,True,11.1,12.7,21,34,0.0,-1.0,,,,,2.0,348.0,11.368,1.4,420.15,Aggressive Cooling,,5.0,facefoot
60857,Summer,True,13.02,5.9,21,40,0.0,1.0,,,,,2.0,69.0,10.192,4.16,771.71,Aggressive Cooling,,6.0,facefoot
60857,Summer,True,13.22,17.37,22,35,0.0,0.0,,,,,2.0,75.0,49.784,16.43,1191.24,Aggressive Cooling,,6.0,facefoot
60857,Summer,True,13.73,49.15,25,27,0.0,-2.0,,,,,2.0,152.0,40.768,65.79,1695.71,Aggressive Cooling,,4.0,facefoot
60857,Summer,True,13.92,59.83,25,28,0.0,-3.0,,,,,2.0,134.0,39.984,47.83,1353.06,Aggressive Cooling,,1.0,facefoot
60857,Summer,True,14.38,88.2,27,29,0.0,2.0,,,,,2.0,188.0,36.848,27.8,1222.27,Aggressive Cooling,,3.0,facefoot
60857,Summer,True,15.73,41.07,25,25,0.0,-2.0,,,,,2.0,356.0,29.792,49.37,1459.33,Aggressive Cooling,,1.0,facefoot
60857,Summer,True,16.4,4.25,25,27,0.0,4.0,,,,,2.0,73.0,26.656,3.17,1152.78,Aggressive Cooling,,5.0,facefoot
60857,Summer,True,16.43,6.63,25,28,0.0,-1.0,,,,,2.0,73.0,26.656,1.68,1057.12,Aggressive Cooling,,4.0,facefoot
60857,Summer,True,11.23,32.22,22,26,0.0,0.0,,,,,2.0,144.0,19.208,39.73,1351.79,Aggressive Cooling,,4.0,facefoot
60857,Summer,True,12.42,0.05,22,29,0.0,-1.0,,,,,2.0,7.0,16.856,0.0,862.0,Aggressive Cooling,,3.0,facefoot
60857,Fall,True,10.17,11.38,22,32,0.0,1.0,,,,,2.0,64.0,6.272,2.25,941.53,Aggressive Cooling,,4.0,facefoot
60857,Fall,True,10.68,42.23,24,26,0.0,0.0,,,,,2.0,85.0,98.392,0.0,951.32,Aggressive Cooling,,4.0,facefoot
60857,Fall,True,15.57,19.43,27,33,0.0,0.0,,,,,2.0,319.0,94.864,54.71,1355.67,Aggressive Cooling,,4.0,facefoot
60857,Fall,True,15.73,29.28,26,30,0.0,0.0,,,,,2.0,253.0,93.688,43.34,1487.25,Aggressive Cooling,,4.0,facefoot
60857,Fall,True,18.9,7.33,30,28,0.0,-3.0,,,,,2.0,245.0,93.688,0.24,802.0,Aggressive Cooling,,1.0,facefoot
60857,Fall,True,9.18,9.68,23,24,0.0,0.0,,,,,2.0,168.0,92.904,16.45,1143.21,Aggressive Cooling,,1.0,facefoot
60857,Fall,False,9.28,0.85,28,31,0.0,1.0,,,,,2.0,126.0,84.28,20.78,1487.5,Aggressive Cooling,,3.0,facefoot
60857,Fall,False,11.52,0.35,26,37,0.0,-1.0,,,,,2.0,77.0,81.536,0.0,741.0,Aggressive Cooling,,2.0,facefoot
60857,Fall,False,11.63,7.55,26,35,0.0,2.0,,,,,2.0,73.0,81.144,18.35,1101.0,Aggressive Cooling,,4.0,face
60857,Fall,False,11.87,21.95,26,30,0.0,-2.0,,,,,2.0,73.0,80.752,27.75,1431.16,Aggressive Cooling,,2.0,face
60857,Fall,False,12.0,29.08,26,30,0.0,0.0,,,,,2.0,73.0,80.36,3.23,981.09,Aggressive Cooling,,2.0,face
60857,Fall,False,13.07,23.93,27,32,0.0,3.0,,,,,2.0,255.0,76.832,15.13,1197.59,Aggressive Cooling,,5.0,face
60857,Fall,False,13.12,26.87,27,31,0.0,-4.0,,,,,2.0,350.0,76.832,20.45,1223.57,Aggressive Cooling,,1.0,face
60857,Fall,False,17.17,5.7,26,31,0.0,0.0,,,,,2.0,261.0,75.656,19.42,1367.39,Aggressive Cooling,,1.0,face
60857,Fall,True,10.32,0.9,32,38,0.0,6.0,,,,,2.0,166.0,75.656,0.0,1060.0,Aggressive Cooling,,7.0,face
60857,Fall,True,13.72,0.9,29,41,0.0,-3.0,,,,,2.0,77.0,74.48,0.0,928.5,Aggressive Cooling,,4.0,face
60857,Fall,True,14.47,0.3,33,40,0.0,2.0,,,,,2.0,71.0,73.696,0.0,960.0,Aggressive Cooling,,6.0,face
60857,Fall,True,14.52,3.1,33,37,0.0,-3.0,,,,,2.0,71.0,73.696,0.0,947.38,Aggressive Cooling,,3.0,face
60857,Fall,True,15.8,3.87,30,35,2.0,-1.0,,,,,2.0,72.0,72.52,0.06,944.9,Conventional,18.0,2.0,face
60857,Fall,True,16.32,9.48,30,30,0.0,-1.0,,,,,2.0,298.0,71.736,7.9,1104.62,Conventional,18.0,1.0,face
60857,Fall,True,9.5,1.08,21,23,4.0,0.0,,,,,2.0,328.0,66.248,25.6,1263.33,Conventional,22.0,1.0,face
60857,Fall,True,14.48,18.25,19,25,0.0,0.0,,,,,2.0,186.0,58.408,16.23,1061.95,Conventional,22.0,1.0,face
60857,Fall,True,15.45,29.43,19,27,0.0,-1.0,,,,,2.0,73.0,53.704,22.95,1338.25,Conventional,22.0,0.0,face
60857,Fall,True,18.05,0.2,19,21,0.0,2.0,,,,,2.0,328.0,52.92,0.0,1195.0,Conventional,22.0,2.0,face
60857,Fall,True,18.2,8.62,18,23,-7.0,0.0,,,,,2.0,154.0,52.136,19.32,1275.77,Aggressive Cooling,,2.0,face
60857,Fall,True,18.52,28.45,18,24,0.0,2.0,,,,,2.0,148.0,51.352,29.61,1449.75,Aggressive Cooling,,4.0,face
60857,Fall,True,19.17,66.87,17,26,0.0,0.0,,,,,2.0,180.0,47.824,49.73,1435.25,Aggressive Cooling,,4.0,face
60857,Fall,True,17.68,0.57,21,24,0.0,-2.0,,,,,2.0,78.0,39.2,13.13,1542.67,Aggressive Cooling,,2.0,face
60857,Fall,False,11.1,0.17,22,25,0.0,0.0,212.0,23.0,4.0,95.0,2.0,74.0,36.848,19.3,1738.0,Aggressive Cooling,,2.0,face
60857,Fall,False,11.22,7.22,22,25,7.0,-1.0,212.0,23.0,4.0,95.0,2.0,179.0,36.064,38.34,1378.95,Conventional,22.0,1.0,face
60857,Fall,False,12.62,3.25,22,25,2.0,0.0,212.0,23.0,4.0,95.0,2.0,168.0,33.32,38.15,1401.0,Conventional,24.0,1.0,face
60857,Fall,False,10.15,10.53,24,27,0.0,2.0,212.0,23.0,4.0,100.0,2.0,357.0,24.304,41.66,1320.97,Conventional,24.0,3.0,face
60857,Fall,False,19.82,1.45,23,24,0.0,0.0,201.0,21.0,4.0,99.0,2.0,168.0,20.776,58.76,2110.0,Conventional,24.0,3.0,face
60857,Fall,True,10.9,0.58,27,40,0.0,3.0,100.0,23.0,4.0,79.0,2.0,77.0,16.464,0.0,883.0,Conventional,24.0,6.0,face
60857,Fall,True,10.93,2.62,26,40,0.0,0.0,100.0,23.0,4.0,79.0,2.0,253.0,16.072,7.66,971.0,Conventional,24.0,6.0,face
60857,Fall,True,16.92,1.05,26,35,0.0,-3.0,0.0,26.0,4.0,65.0,2.0,61.0,12.152,0.0,924.0,Conventional,24.0,3.0,face
60857,Fall,True,15.5,11.43,21,28,-4.0,0.0,100.0,23.0,4.0,83.0,2.0,170.0,49.784,37.84,1484.06,Conventional,20.0,3.0,face
60857,Fall,True,8.95,0.42,23,26,0.0,3.0,,,,,2.0,1.0,37.632,0.0,1200.0,Conventional,20.0,6.0,face
60857,Fall,True,9.87,0.85,22,30,0.0,-5.0,100.0,22.0,4.0,87.0,2.0,253.0,35.28,8.05,1176.0,Conventional,20.0,1.0,face
60857,Fall,True,9.98,8.53,23,29,0.0,0.0,100.0,22.0,4.0,87.0,2.0,163.0,33.32,40.56,1590.26,Conventional,20.0,1.0,face
60857,Fall,True,11.02,3.83,25,34,0.0,5.0,100.0,24.0,4.0,72.0,2.0,328.0,31.752,33.7,1314.0,Conventional,20.0,6.0,facefoot
60857,Fall,True,14.15,16.0,27,35,0.0,-1.0,100.0,26.0,4.0,57.0,2.0,343.0,34.104,10.12,1300.06,Conventional,20.0,5.0,facefoot
60857,Fall,True,10.2,2.98,24,32,0.0,0.0,100.0,22.0,4.0,72.0,2.0,256.0,30.184,30.7,1330.57,Conventional,20.0,5.0,face
60857,Fall,False,10.77,3.78,19,28,2.0,-3.0,100.0,20.0,4.0,85.0,2.0,251.0,22.344,0.0,950.38,Conventional,22.0,2.0,face
60857,Fall,False,10.87,10.18,19,28,0.0,1.0,100.0,20.0,4.0,85.0,2.0,75.0,21.952,9.45,1135.65,Conventional,22.0,3.0,face
60857,Fall,True,17.1,1.02,18,25,0.0,-2.0,101.0,18.0,4.0,71.0,2.0,251.0,62.328,0.0,936.33,Conventional,22.0,1.0,face
60857,Fall,True,12.23,3.1,19,27,0.0,0.0,101.0,20.0,4.0,81.0,2.0,64.0,53.312,0.0,940.29,Conventional,22.0,1.0,face
60857,Fall,True,11.98,39.55,22,23,0.0,0.0,101.0,18.0,4.0,78.0,2.0,177.0,23.128,0.0,115.5,Conventional,22.0,1.0,face
60857,Fall,False,11.98,2.87,22,30,0.0,0.0,212.0,20.0,4.0,86.0,2.0,150.0,71.344,61.8,1633.89,Conventional,22.0,1.0,face
60857,Fall,False,12.85,8.8,22,29,0.0,0.0,212.0,21.0,4.0,80.0,2.0,90.0,68.208,21.86,1273.83,Conventional,22.0,1.0,face
60857,Fall,False,17.78,3.23,21,27,0.0,0.0,101.0,20.0,4.0,83.0,2.0,169.0,56.84,53.2,2061.2,Conventional,22.0,1.0,face
60857,Fall,True,13.53,0.13,21,31,0.0,3.0,101.0,22.0,4.0,72.0,2.0,74.0,35.28,41.6,3824.0,Conventional,22.0,4.0,face
